OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
679991,273057,SGL-193,FAIRVIEW AVE N AND VALLEY UPPER ST,10/10/2025,POOR
679993,273059,SGL-289,8TH AVE NW AND NW MARKET ST,10/22/2025,POOR
679998,273064,SGL-720,WALLINGFORD AVE N AND N 34TH ST,10/31/2025,POOR
680001,273067,SGL-252,GREENWOOD AVE N AND HOLMAN RD N,10/10/2025,FAIR
680002,273068,SGL-346,ROOSEVELT WAY NE AND NE NORTHGATE WAY,1/10/2025,FAIR
680004,273070,SGL-939,4TH AVE S AND S INDUSTRIAL EB WAY,10/10/2025,GOOD
680005,273070,SGL-939,4TH AVE S AND S INDUSTRIAL EB WAY,10/10/2025,GOOD
680009,273074,SGL-97,5TH AVE BETWEEN PINE ST AND OLIVE WAY,7/21/2025,POOR
680013,273079,SGL-926,MARGINAL PL SW AND WEST MARGINAL WAY SW,10/8/2025,POOR
680020,273085,SGL-680,BELLEVUE AVE AND E OLIVE WAY,5/21/2025,POOR
680021,273086,SGL-225,3RD AVE W AND W NICKERSON ST,10/10/2025,POOR
680024,273089,SGL-916,15TH AVE S AND S SHELTON ST,10/31/2025,POOR
680025,273090,SGL-566,MAYNARD AVE S AND S DEARBORN ST,10/10/2025,FAIR
680029,273095,SGL-145,5TH AVE AND BLANCHARD ST,8/26/2025,FAIR
680030,273096,SGL-593,4TH AVE S AND S HORTON ST,10/10/2025,POOR
680032,273098,SGL-492,10TH AVE E AND E BOSTON ST,5/7/2025,FAIR
680039,273106,SGL-10,2ND AVE S AND S JACKSON ST,10/10/2025,POOR
680045,273112,SGL-021,7TH AVE NE AND NE 45TH ST,2/24/2025,
680046,273113,SGL-672,13TH AVE S AND S ALBRO PL,10/10/2025,GOOD
680052,273119,SGL-64,1ST AVE AND PIKE ST,8/26/2025,FAIR
680055,273122,SGL-577,4TH AVE S AND S SPOKANE NR ST,10/10/2025,POOR
680056,273122,SGL-577,4TH AVE S AND S SPOKANE NR ST,10/10/2025,POOR
680058,273124,SGL-864,M L KING JR WAY S AND S MASSACHUSETTS ST,10/10/2025,POOR
680060,273126,SGL-468,12TH AVE AND E PIKE ST,7/21/2025,GOOD
680067,273135,SGL-129,6TH AVE AND VIRGINIA ST,8/13/2025,FAIR
680068,273136,SGL-772,6TH AVE S AND S SPOKANE NR ST,10/10/2025,POOR
680069,273136,SGL-772,6TH AVE S AND S SPOKANE NR ST,10/10/2025,POOR
680070,273136,SGL-772,6TH AVE S AND S SPOKANE NR ST,10/10/2025,POOR
680072,273530,SGL-532,15TH AVE S AND S COLUMBIAN N WAY,3/10/2025,GOOD
680073,273531,SGL-912,MELROSE AVE AND E DENNY WAY,10/10/2025,FAIR
680074,273532,SGL-891,EASTLAKE AVE E AND E BOSTON ST,10/10/2025,POOR
680075,273533,SGL-611,CARLETON AVE S AND EAST MARGINAL WAY S,10/10/2025,GOOD
680077,273535,SGL-369,15TH AVE NE AND NE 50TH ST,5/12/2025,POOR
680083,273540,SGL-854,4TH AVE N AND BROAD ST,10/15/2025,POOR
680086,273543,SGL-573,AIRPORT WAY S AND S HOLGATE S ST,10/10/2025,POOR
680090,273547,SGL-519,RAINIER AVE S AND S CHARLES S ST,10/10/2025,POOR
680091,273548,SGL-2,ALASKAN WR WAY S AND S MAIN ST,10/10/2025,POOR
680093,273550,SGL-888,BOREN AVE AND UNION ST,10/10/2025,FAIR
680094,273551,SGL-285,3RD AVE NW AND NW 85TH ST,10/10/2025,POOR
680097,273554,SGL-5,1ST AVE S AND S JACKSON ST,10/10/2025,POOR
680099,273556,SGL-194,HARRISON ST AND WESTLAKE AVE N,7/18/2025,POOR
680103,273561,SGL-1029,6TH AVE AND JAMES ST,10/10/2025,GOOD
680104,273562,SGL-11,2ND AV ET S AND S WASHINGTON ST,10/10/2025,POOR
680114,273572,SGL-927,BATTERY ST AND WESTERN AVE,8/13/2025,POOR
680115,273573,SGL-592,4TH AVE S AND S LANDER ST,10/10/2025,FAIR
680117,273575,SGL-130,VIRGINIA ST AND WESTLAKE AVE,10/10/2025,POOR
680120,273577,SGL-12,2ND AVE AND YESLER WAY,10/10/2025,FAIR
680121,273579,SGL-38,1ST AVE AND COLUMBIA ST,10/10/2025,FAIR
680122,273580,SGL-818,8TH AVE S AND S DEARBORN ST,10/10/2025,GOOD
